TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TEKA3;8,23;;-0,03;0,00;0,00;19,20;-34,33;-52,84;-0,04;-5,60;-5,52;;0,01;0,00;0,00;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;;-4.039,83;-299,99;0,00;7.919.120,45
TEKA4;19,50;;-0,07;0,00;0,01;19,20;-34,33;-52,84;-0,10;-5,60;-5,52;;0,03;0,00;-0,01;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;142.922,00;-4.039,83;-299,99;0,00;7.919.120,45
TELB3;15,70;;-19,97;0,85;0,34;-49,89;-3,91;-17,09;-87,25;-10,76;72,79;-0,71;3,41;1,05;-0,56;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;79.178,62;18,37;-0,79;0,36;1.298.599.066,17
TELB4;12,57;;-15,99;0,68;0,27;-49,89;-3,91;-17,09;-69,86;-10,76;72,79;-0,71;2,73;0,84;-0,45;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;123.820,41;18,37;-0,79;0,29;1.298.599.066,17
TEND3;11,75;;-33,11;2,14;0,35;20,36;3,26;-6,71;68,18;103,89;35,71;1,12;2,22;7,32;-0,60;1,12;-6,46;-1,05;0,49;0,16;0,84;0,16;-17,27;;42.790.380,45;5,50;-0,35;0,36;1.446.357.390,50
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;14,04;0,77;117,10;34,09;21,45;58,03;22,31;17,59;92,32;15,92;0,38;0,14;20,60;44,21;-74,17;3,15;29,11;18,32;25,18;0,63;0,37;1,04;22,58;27,50;1.487.664,09;0,41;0,12;6,67;2.242.440.741,06
TGMA3;26,99;4,33;9,52;2,17;1,53;19,68;14,88;12,15;7,78;7,39;-0,39;-0,11;1,16;4,48;-3,03;3,20;22,82;16,04;17,56;0,70;0,30;1,32;4,80;12,51;8.955.743,73;12,42;2,83;0,23;1.781.418.675,85
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIMS3;17,32;3,69;18,28;1,64;0,75;51,02;17,14;9,81;10,46;10,56;0,10;0,02;1,79;-14,55;-0,93;0,79;8,97;4,10;12,16;0,46;0,54;0,42;5,81;13,18;102.633.491,95;10,56;0,95;2,70;41.928.332.173,36
TKNO3;69,63;;7,65;0,73;0,58;21,80;14,53;10,30;5,43;4,05;-1,21;-0,16;0,79;1,53;-1,28;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;;95,24;9,10;-0,16;198.955.927,63
TKNO4;65,00;4,85;7,15;0,68;0,54;21,80;14,53;10,30;5,07;4,05;-1,21;-0,16;0,74;1,43;-1,20;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;14.586,67;95,24;9,10;-0,15;198.955.927,63
TOTS3;32,38;0,71;26,13;4,24;2,28;70,36;17,31;18,09;27,31;25,47;-1,84;-0,29;4,73;7,83;-4,07;2,97;16,23;8,73;8,68;0,54;0,43;0,48;11,23;52,41;110.371.044,00;7,64;1,24;0,42;19.984.391.400,78
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;4,14;;-2,92;0,21;0,06;10,26;-1,06;-6,50;-17,98;-167,95;-149,96;1,77;0,19;-0,48;-0,07;0,27;-7,27;-2,20;-4,18;0,30;0,70;0,34;-5,55;;156.408,64;19,50;-1,42;0,00;182.160.000,00
TRAD3;0,84;;-2,05;0,49;0,46;26,23;-137,01;-203,14;-3,04;-1,68;1,36;-0,22;4,17;2,08;-0,65;4,63;-24,05;-22,54;-18,15;0,94;0,06;0,11;;;691.018,91;1,70;-0,41;-0,02;235.323.595,92
TRIS3;5,48;2,51;9,58;0,77;0,38;24,05;30,15;11,03;3,51;6,12;2,61;0,57;1,06;0,78;-1,53;2,82;8,01;3,96;11,10;0,49;0,49;0,36;11,47;24,98;4.398.630,05;7,14;0,57;0,11;1.022.664.108,24
TRPL3;36,00;6,12;10,04;1,32;0,67;59,76;62,57;41,02;6,58;7,55;2,00;0,40;4,12;8,55;-0,81;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;130.012,09;27,28;3,59;-1,18;19.995.014.580,12
TRPL4;26,71;8,25;7,45;0,98;0,50;59,76;62,57;41,02;4,88;7,55;2,00;0,40;3,06;6,34;-0,60;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;100.886.201,50;27,28;3,59;-0,87;19.995.014.580,12
TRPN3;0,71;;0,44;0,54;0,40;100,00;71,70;59,29;0,37;-0,36;-0,72;-1,07;0,26;0,59;-6,13;3,61;122,35;90,00;90,82;0,74;0,26;1,52;-0,48;-0,38;;1,31;1,60;0,00;32.162.716,00
TTEN3;11,18;1,03;8,89;1,76;0,84;14,89;6,79;7,71;10,10;10,31;0,21;0,04;0,69;3,80;-2,36;1,52;19,74;9,46;9,54;0,48;0,52;1,23;;;17.777.500,36;6,37;1,26;0,41;5.570.967.693,46
TUPY3;26,87;3,74;9,51;1,19;0,39;17,23;6,88;3,59;4,97;7,85;2,88;0,69;0,34;1,21;-1,00;2,10;12,47;4,08;9,94;0,33;0,67;1,13;22,39;21,58;17.170.201,73;22,67;2,83;-0,46;3.874.049.425,00
TXRX3;4,20;;-0,60;-0,05;0,08;19,35;0,21;-18,70;54,21;947,25;905,70;;0,11;-0,09;-0,16;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;840,00;-84,48;-7,05;-0,01;13.712.989,98
TXRX4;2,71;;-0,38;-0,03;0,05;19,35;0,21;-18,70;34,98;947,25;905,70;;0,07;-0,05;-0,10;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;16.684,47;-84,48;-7,05;-0,01;13.712.989,98
UCAS3;2,67;;12,96;0,90;0,58;34,76;4,03;6,15;19,78;17,57;-2,20;-0,10;0,80;31,41;-0,85;1,06;6,91;4,47;4,06;0,65;0,35;0,73;9,24;;191.369,77;2,98;0,21;-0,20;176.450.591,88
UGPA3;27,12;1,29;13,98;2,38;0,83;6,77;3,25;1,68;7,24;9,07;1,83;0,60;0,24;3,74;-1,65;1,81;17,03;5,94;12,14;0,35;0,64;3,53;12,42;6,56;129.046.667,32;11,39;1,94;0,24;30.244.562.728,80
UNIP3;69,78;4,53;9,35;2,58;1,17;35,74;20,79;13,63;6,13;6,16;-0,22;-0,09;1,27;5,70;-2,04;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;615.088,14;27,04;7,47;-0,16;7.547.126.173,46
UNIP5;79,95;4,44;10,71;2,96;1,34;35,74;20,79;13,63;7,02;6,16;-0,22;-0,09;1,46;6,53;-2,34;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;18.094,85;27,04;7,47;-0,18;7.547.126.173,46
UNIP6;74,20;4,69;9,94;2,74;1,24;35,74;20,79;13,63;6,52;6,16;-0,22;-0,09;1,35;6,06;-2,17;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;14.423.993,77;27,04;7,47;-0,17;7.547.126.173,46
USIM3;8,81;3,39;-30,44;0,47;0,27;8,47;-2,09;-1,27;-18,51;-19,16;-0,58;0,01;0,39;0,82;-0,52;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;6.632.496,32;18,71;-0,29;0,28;11.077.974.231,16
USIM5;8,88;3,70;-30,68;0,47;0,28;8,47;-2,09;-1,27;-18,66;-19,16;-0,58;0,01;0,39;0,83;-0,52;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;83.377.526,00;18,71;-0,29;0,29;11.077.974.231,16
USIM6;15,01;2,19;-51,86;0,80;0,47;8,47;-2,09;-1,27;-31,54;-19,16;-0,58;0,01;0,66;1,41;-0,88;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;2.141,20;18,71;-0,29;0,48;11.077.974.231,16
VALE3;74,79;8,13;7,14;1,79;0,76;40,12;31,07;23,03;5,30;6,08;0,78;0,26;1,65;65,89;-0,91;1,08;24,99;10,66;21,26;0,43;0,56;0,46;15,85;21,94;1.439.698.983,55;41,90;10,47;-0,13;339.472.376.908,20
VAMO3;9,72;3,46;16,62;2,20;0,56;44,40;34,31;10,72;5,19;9,43;4,23;1,79;1,78;3,78;-0,79;2,03;13,24;3,36;13,27;0,25;0,75;0,31;64,03;51,58;72.751.991,77;4,42;0,58;0,79;10.734.034.810,68
VBBR3;22,98;1,87;13,16;1,98;0,65;4,58;2,47;1,24;6,59;8,95;2,36;0,71;0,16;2,12;-1,43;2,31;15,01;4,97;11,75;0,33;0,67;4,01;16,50;12,07;258.961.886,23;11,64;1,75;6,73;26.771.700.000,00
VITT3;10,00;0,94;13,39;2,31;1,56;37,83;15,21;14,38;12,65;13,84;1,18;0,22;1,93;3,98;-4,17;2,67;17,27;11,65;13,41;0,67;0,33;0,81;;;2.399.756,86;4,32;0,75;-0,54;1.430.491.070,00
VIVA3;33,96;1,07;20,95;4,27;2,65;69,55;21,53;18,65;18,15;18,30;0,15;0,04;3,91;6,93;-6,22;3,01;20,40;12,67;19,88;0,62;0,38;0,68;;;78.636.199,14;7,95;1,62;1,31;8.021.276.235,24
VIVR3;5,00;;-1,15;5,92;0,39;24,20;-125,27;-123,97;-1,14;-1,09;0,05;-0,28;1,43;19,29;-0,75;1,04;-514,44;-33,76;-264,18;0,07;0,93;0,27;83,05;;1.980.458,36;0,84;-4,34;-0,01;118.382.715,00
VIVT3;50,22;4,10;17,03;1,20;0,69;42,85;14,76;9,61;11,09;12,86;1,76;0,19;1,64;-50,53;-0,83;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;95.190.265,00;41,92;2,95;-1,56;82.992.987.439,20
VIVT4;45,34;;15,38;1,08;0,62;42,85;14,76;9,61;10,02;12,86;1,76;0,19;1,48;-45,62;-0,74;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;;41,92;2,95;-1,41;82.992.987.439,20
VLID3;21,04;4,34;8,50;1,27;0,64;38,84;19,36;10,32;4,53;5,27;0,74;0,21;0,88;2,55;-1,29;2,00;14,90;7,56;14,76;0,51;0,48;0,73;3,60;48,87;10.849.058,41;16,60;2,47;0,01;1.721.837.330,00
VSPT3;4,99;;-0,32;0,37;0,11;7,78;-44,27;-67,63;-0,49;-1,03;-0,54;0,41;0,22;-2,01;-0,13;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;7,78;-44,27;-67,63;0,00;-1,03;-0,54;0,41;0,00;0,00;0,00;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSTE3;20,12;0,58;9,60;2,22;1,35;64,99;19,07;21,51;10,83;12,07;1,24;0,25;2,06;12,83;-2,00;1,48;23,13;14,12;7,46;0,61;0,39;0,66;-3,13;-10,77;999.271,09;9,07;2,10;-0,08;2.282.149.710,88
VULC3;19,20;4,09;8,36;2,38;1,69;40,55;19,67;20,41;8,68;8,70;0,02;0,01;1,71;3,11;-5,64;4,39;28,43;20,16;21,21;0,71;0,29;0,99;14,97;24,47;11.354.468,82;8,07;2,30;0,12;4.721.591.884,80
VVAR11;14,58;;-0,78;0,31;0,04;28,99;-0,55;-5,91;-8,30;-48,10;-41,99;1,58;0,05;-0,29;-0,07;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;1.020.243.068,63
VVAR4;95,68;;-5,09;2,05;0,28;28,99;-0,55;-5,91;-54,48;-48,10;-41,99;1,58;0,30;-1,92;-0,48;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;1.020.243.068,63
VVEO3;13,00;;25,93;1,34;0,42;15,90;6,01;1,50;6,46;8,96;2,50;0,52;0,39;1,38;-1,05;2,04;5,17;1,62;9,84;0,31;0,69;1,08;;;22.229.590,00;9,69;0,50;-0,62;4.196.667.904,00
WEGE3;35,83;1,72;30,26;9,33;5,00;31,56;18,80;15,70;25,27;24,79;-0,48;-0,18;4,75;15,63;-16,12;1,86;30,82;16,52;25,44;0,54;0,45;1,05;25,71;34,19;182.015.347,91;3,84;1,18;0,75;150.389.903.868,34
WEST3;1,34;;-2,40;0,54;0,41;42,07;-38,84;-29,31;-1,81;-0,32;1,50;-0,45;0,70;0,95;-1,08;3,16;-22,68;-16,91;-28,18;0,75;0,25;0,58;367,94;;164.728,27;2,46;-0,56;-0,07;148.306.635,96
WHRL3;4,40;5,39;18,56;2,58;0,70;16,27;8,15;3,24;7,38;6,78;-0,71;-0,25;0,60;11,08;-2,45;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;51.960,86;1,70;0,24;-0,54;6.716.557.151,48
WHRL4;4,62;16,21;19,49;2,71;0,73;16,27;8,15;3,24;7,75;6,78;-0,71;-0,25;0,63;11,63;-2,57;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;158.923,82;1,70;0,24;-0,57;6.716.557.151,48
WIZC3;6,83;6,52;11,23;2,38;0,48;58,84;37,07;9,26;2,81;3,07;0,26;0,22;1,04;-18,75;-0,62;0,90;21,18;4,24;22,73;0,20;0,59;0,46;12,37;-9,41;3.928.800,55;2,87;0,61;-0,30;1.092.166.736,06
WLMM3;22,55;2,92;7,77;1,23;0,99;12,97;7,04;4,99;5,51;5,62;-0,61;-0,14;0,39;2,27;-2,27;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;6.377,50;18,40;2,90;-1,14;928.503.873,00
WLMM4;27,96;2,59;9,64;1,52;1,23;12,97;7,04;4,99;6,84;5,62;-0,61;-0,14;0,48;2,82;-2,81;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;15.036,50;18,40;2,90;-1,41;928.503.873,00
YDUQ3;21,24;1,29;34,91;2,03;0,67;59,29;17,03;3,75;7,68;12,55;4,87;1,29;1,31;7,54;-0,91;1,52;5,81;1,92;9,55;0,33;0,67;0,51;6,20;-15,03;60.821.338,50;10,48;0,61;-0,07;6.565.047.195,24
ZAMP3;4,64;;-11,09;0,96;0,32;65,31;2,49;-3,02;13,43;21,41;7,98;0,57;0,33;48,03;-0,41;1,03;-8,65;-2,89;2,75;0,33;0,67;0,96;15,36;;13.724.310,68;4,84;-0,42;-0,20;1.277.649.274,08
